DSNY Storm # ,Date of Report ,Manhattan,Bronx,Brooklyn,Queens,Staten Island ,Total Tons 
Storm 7,02/08/2018 12:00:00 AM,1575,2996,3714,3533,2212,14030
Storm 8,02/20/2018 12:00:00 AM,2311,4321,4944,6148,2382,20106
Storm 9,03/08/2018 12:00:00 AM,6148,8212,10255,12774,4700,42089
Storm 9,03/09/2018 12:00:00 AM,182,342,938,1497,602,3561
Storm 9,03/10/2018 12:00:00 AM,0,126,32,0,124,282
Storm 10,03/14/2018 12:00:00 AM,1796,3236,4707,7662,2313,19714
Storm 11,03/22/2018 12:00:00 AM,6612,9432,10831,13411,4000,44286
Storm 11,03/23/2018 12:00:00 AM,738,1297,2370,1898,3500,9803
Storm 11,03/26/2018 12:00:00 AM,44,1,0,137,0,182
Storm 12,04/04/2018 12:00:00 AM,1250,3218,3082,5133,983,13666
Storm 1,11/16/2018 12:00:00 AM,2883,4650,7728,10710,3110,29081
Storm 1,11/17/2018 12:00:00 AM,406,486,2119,1886,1000,5897
Condition 2,11/26/2018 12:00:00 AM,936,1220,1564,2461,460,6641
Condition 3,12/14/2018 12:00:00 AM,1282,2992,3345,7103,2169,16891
Condition 4,12/21/2018 12:00:00 AM,0,363,194,318,144,1019
Storm 2,01/14/2019 12:00:00 AM,1569,2117,1962,4692,2800,13140
Storm 3,01/18/2019 12:00:00 AM,2192,3449,6226,5925,4739,22531
Storm 3,01/19/2019 12:00:00 AM,111,715,1014,0,120,1960
Storm 3,01/20/2019 12:00:00 AM,2008,3885,3413,7273,2679,19258
Storm 3,01/22/2019 12:00:00 AM,134,2723,1614,7382,620,12473
Storm 4,01/30/2019 12:00:00 AM,1994,2482,2992,4268,2312,14048
Storm 4,01/31/2019 12:00:00 AM,966,2384,4266,2330,2054,12000
Storm 4,02/01/2019 12:00:00 AM,42,202,202,15,0,461
Storm 5,02/13/2019 12:00:00 AM,4350,8349,15702,15196,5648,49245
Storm 5,02/14/2019 12:00:00 AM,100,426,650,844,275,2295
Storm 6,02/18/2019 12:00:00 AM,1642,3273,2596,6061,524,14096
Storm 6,02/21/2019 12:00:00 AM,4063,6659,9996,9783,4106,34607
Storm 6,02/22/2019 12:00:00 AM,154,142,232,142,0,670
Storm 7,02/28/2019 12:00:00 AM,1613,3700,3804,4310,1778,15205
Storm 7,03/01/2019 12:00:00 AM,2266,4161,2272,4440,840,13979
Storm 7,03/03/2019 12:00:00 AM,3794,8000,8182,5968,3883,29827
Storm 8,03/04/2019 12:00:00 AM,2743,5559,5277,8223,2696,24498
Storm 8,03/05/2019 12:00:00 AM,507,2157,2015,3349,122,8150
Storm 8,03/06/2019 12:00:00 AM,46,192,0,226,226,690
Storm 8,03/08/2019 12:00:00 AM,44,8,0,69,100,221
Storm 1,12/01/2019 12:00:00 AM,2805,6588,9345,14452,2414,35604
Storm 1,12/02/2019 12:00:00 AM,3358,6446,9643,17235,2966,39648
Storm 1,12/03/2019 12:00:00 AM,522,1145,943,4320,150,7080
Storm 1,12/04/2019 12:00:00 AM,2,0,0,25,0,27
Condition 2,12/11/2019 12:00:00 AM,2576,5080,6546,10094,2132,26428
Condition 3,12/16/2019 12:00:00 AM,2126,5123,7487,10775,2175,27686
Condition 3,12/17/2019 12:00:00 AM,253,623,0,0,68,944
Storm 2,12/18/2019 12:00:00 AM,271,3351,5864,6200,1550,17236
Storm 2,12/19/2019 12:00:00 AM,1195,1540,0,1325,105,4165
Condition 5,01/06/2020 12:00:00 AM,777,1110,1394,3198,750,7229
Storm 3,01/18/2020 12:00:00 AM,4935,6392,9141,13637,3350,37455
Condition 1,12/10/2020 12:00:00 AM,9,64,204,598,110,985
Storm 1,12/17/2020 12:00:00 AM,6070,7061,12076,13880,6893,45980
Storm 1,12/18/2020 12:00:00 AM,3753,6983,10222,17884,3954,42796
Storm 1,12/19/2020 12:00:00 AM,1388,3637,4488,11919,916,22348
Storm 1,12/20/2020 12:00:00 AM,1314,2696,1976,6401,550,12937
Storm 1,12/21/2020 12:00:00 AM,474,1385,1242,2623,220,5944
